episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
1,480,-14681.3229,0.0,0.0,0.0,0.0,0.1
2,960,-11766.0415,0.0,0.0,0.0,0.0,0.2
3,1440,-2679.769,0.0,0.0,0.0,0.0,0.3
4,1920,-13943.2064,0.0,0.0,0.0,0.0,0.4
5,2400,-8288.2848,0.0,0.0,0.0,0.0,0.5
6,2880,-18458.6176,0.0,0.0,0.0,0.0,0.7
7,3360,-10841.146,0.0,0.0,0.0,0.0,0.8
8,3840,-9928.6405,0.0,0.0,0.0,0.0,0.9
9,4320,-14756.5746,0.0,0.0,0.0,0.0,19.9
10,4800,-9040.547,0.0,0.0,0.0,0.0,20.1
11,5280,-22451.3476,0.0,0.0,0.0,0.0,20.2
12,5760,-22018.0021,0.0,0.0,0.0,0.0,20.3
13,6240,-11046.4423,0.0,0.0,0.0,0.0,20.5
14,6720,-7879.0986,0.0,0.0,0.0,0.0,20.6
15,7200,-10629.7762,0.0,0.0,0.0,0.0,20.7
16,7680,-6614.377,0.0,0.0,0.0,0.0,20.8
17,8160,-15336.9552,0.0,0.0,0.0,0.0,21.0
18,8640,-12155.5467,0.0,0.0,0.0,0.0,41.9
19,9120,-8258.5686,0.0,0.0,0.0,0.0,42.0
20,9600,-13351.81,0.0,0.0,0.0,0.0,42.2
21,10080,-4294.2097,0.0,0.0,0.0,0.0,42.3
22,10560,-12175.7545,0.0,0.0,0.0,0.0,42.5
23,11040,-13382.2524,0.0,0.0,0.0,0.0,42.6
24,11520,-9333.3059,0.0,0.0,0.0,0.0,42.8
25,12000,-5565.4194,0.0,0.0,0.0,0.0,42.9
26,12480,-13562.3559,0.0,0.0,0.0,0.0,63.6
27,12960,-17981.9718,0.0,0.0,0.0,0.0,63.8
28,13440,-17057.0001,0.0,0.0,0.0,0.0,63.9
29,13920,-8393.8603,0.0,0.0,0.0,0.0,64.1
30,14400,-16887.3468,0.0,0.0,0.0,0.0,64.2
31,14880,-1954.658,0.0,0.0,0.0,0.0,64.4
32,15360,-12814.7671,0.0,0.0,0.0,0.0,64.5
33,15840,-3804.0517,0.0,0.0,0.0,0.0,64.7
34,16320,-14230.9109,0.0,0.0,0.0,0.0,64.8
35,16800,-16909.0424,0.0,0.0,0.0,0.0,82.2
36,17280,-15588.7688,0.0,0.0,0.0,0.0,82.3
37,17760,-10577.047,0.0,0.0,0.0,0.0,82.4
38,18240,-12232.3861,0.0,0.0,0.0,0.0,82.6
39,18720,-20663.586,0.0,0.0,0.0,0.0,82.7
