episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
1,480,-14681.3229,0.3908,0.365,0.3242,0.0,0.1
2,960,-11766.0415,0.3083,0.0892,0.3092,0.0,0.3
3,1440,-2679.769,0.3642,0.1667,0.2633,0.0,0.5
4,1920,-13943.2064,0.5517,-0.7575,0.5692,0.0,0.7
5,2400,-8288.2848,0.3767,0.215,0.2558,0.0,0.8
6,2880,-18458.6176,0.6042,-0.9217,0.72,0.0,1.0
7,3360,-10841.146,0.5667,-0.1067,0.435,0.0,1.1
8,3840,-9928.6405,0.5083,-0.195,0.335,0.0,1.3
9,4320,-14756.5746,0.4992,0.0425,0.3933,0.0,19.5
10,4800,-9040.547,0.5525,-0.2925,0.3717,0.0,19.6
11,5280,-22451.3476,0.4792,-0.1942,0.4567,0.0,19.7
12,5760,-22018.0021,0.6242,-0.8917,0.5767,0.0,19.9
13,6240,-11046.4423,0.4283,0.3583,0.4117,0.0,20.0
14,6720,-7879.0986,0.1583,0.2625,0.1642,0.0,20.1
15,7200,-10629.7762,0.395,0.245,0.3192,0.0,20.3
16,7680,-6614.377,0.3842,0.335,0.3758,0.0,20.4
17,8160,-15336.9552,0.46,0.0258,0.415,0.0,20.6
18,8640,-12155.5467,0.5408,-0.49,0.5079,0.0,36.8
19,9120,-8258.5686,0.5358,-0.2,0.4692,0.0,37.0
20,9600,-13351.81,0.5042,-0.2508,0.4725,0.0,37.1
21,10080,-4294.2097,0.4442,-0.0233,0.3758,0.0,37.3
22,10560,-12175.7545,0.7517,-0.8567,0.7292,0.0,37.4
23,11040,-13382.2524,0.3225,0.0667,0.345,0.0,37.6
24,11520,-9111.2451,0.5492,-0.1342,0.4221,0.0,37.7
25,12000,-5313.1446,0.3583,0.3,0.3033,0.0,37.9
26,12480,-13616.6378,0.5058,-0.3625,0.4992,0.0,55.9
27,12960,-18420.9275,0.6117,-0.55,0.515,0.0,56.1
28,13440,-17338.5264,0.3892,0.2992,0.2513,0.0,56.2
29,13920,-8393.8603,0.445,-0.1558,0.4617,0.0,56.4
30,14400,-16885.0986,0.7625,-0.8058,0.7208,0.0,56.5
31,14880,-1954.658,0.3317,0.2058,0.3075,0.0,56.6
32,15360,-12814.7671,0.3158,-0.1858,0.3613,0.0,56.8
33,15840,-3804.0517,0.3625,0.1908,0.36,0.0,56.9
34,16320,-14230.3594,0.8533,-0.9217,0.6275,0.0,57.1
35,16800,-16878.6973,0.3008,0.3433,0.2383,0.0,72.1
36,17280,-15774.6707,0.555,0.015,0.4025,0.0,72.3
37,17760,-10583.1894,0.6842,-0.4492,0.5829,0.0,72.4
38,18240,-12232.3861,0.7792,-0.945,0.59,0.0,72.5
39,18720,-20711.7714,0.835,-0.7108,0.5483,0.0,72.7
40,19200,-11329.9294,0.3208,0.2308,0.2154,0.0,72.8
41,19680,-20423.124,0.7308,-0.6733,0.5975,0.0,72.9
42,20160,-13339.3241,0.5667,-0.2858,0.4808,0.0,73.1
43,20640,-9772.0592,0.6742,-0.6383,0.6329,0.0,88.9
44,21120,-7434.9415,0.3583,0.305,0.3083,0.0,89.0
45,21600,-15996.1819,0.6683,-0.9175,0.615,0.0,89.1
46,22080,-13069.7704,0.4058,0.0767,0.4358,0.0,89.3
47,22560,-13247.4194,0.7292,-0.9283,0.7754,0.0,89.4
48,23040,-12743.342,0.7708,-0.9233,0.74,0.0,89.6
49,23520,-19830.528,0.5658,-0.3792,0.535,0.0,89.7
50,24000,-11533.185,0.2225,0.2817,0.3025,0.0,89.8
51,24480,-3890.3587,0.2375,0.2825,0.3133,0.0,90.0
52,24960,-6013.2781,0.2558,0.2925,0.3508,0.0,107.3
53,25440,-11253.4892,0.5508,-0.7817,0.5975,0.0,107.5
54,25920,-18264.7186,0.6408,-0.7225,0.555,0.0,107.6
55,26400,-15668.9817,0.4842,-0.3758,0.4692,0.0,107.8
56,26880,-15091.7095,0.7767,-0.9533,0.76,0.0,107.9
57,27360,-13150.3653,0.3775,0.3633,0.27,0.0,108.1
58,27840,-7532.7547,0.6058,-0.4617,0.4829,0.0,108.2
59,28320,-11575.1709,0.335,0.37,0.2542,0.0,108.4
60,28800,-10684.0723,0.3308,0.3367,0.3208,0.0,124.9
61,29280,-7690.8181,0.3,0.285,0.4117,0.0,125.1
62,29760,-4545.5147,0.6958,-0.8183,0.5921,0.0,125.2
63,30240,-16045.1805,0.6683,-0.9267,0.7333,0.0,125.4
64,30720,-17136.0137,0.6992,-0.4208,0.5279,0.0,125.5
65,31200,-10373.6296,0.5767,-0.4925,0.5267,0.0,125.6
66,31680,-18221.5256,0.61,-0.935,0.545,0.0,125.8
67,32160,-5800.0675,0.4233,0.1008,0.3279,0.0,125.9
68,32640,-16775.2325,0.635,-0.9192,0.74,0.0,126.1
69,33120,-10835.6623,0.4233,0.035,0.3325,0.0,142.2
70,33600,-14406.9115,0.7892,-0.9125,0.7708,0.0,142.3
71,34080,-2918.5883,0.3575,0.3367,0.3808,0.0,142.5
72,34560,-9891.2538,0.2617,0.2933,0.2025,0.0,142.6
73,35040,-14399.5396,0.5608,-0.6375,0.5692,0.0,142.8
74,35520,-7453.3937,0.315,0.1308,0.4029,0.0,142.9
75,36000,-11785.8936,0.7792,-0.51,0.4817,0.0,143.1
76,36480,-11049.2291,0.6308,-0.9133,0.7658,0.0,143.2
77,36960,-10444.2899,0.6408,-0.3817,0.4804,0.0,160.1
78,37440,-16120.6387,0.6917,-0.9308,0.78,0.0,160.3
79,37920,-8741.268,0.6583,-0.8133,0.4888,0.0,160.4
80,38400,-18270.5877,0.6725,-0.8967,0.7142,0.0,160.6
81,38880,-13901.4385,0.2867,0.3225,0.2342,0.0,160.7
82,39360,-7847.1751,0.435,0.36,0.365,0.0,160.9
83,39840,-11207.574,0.6767,-0.7233,0.4983,0.0,161.0
84,40320,-12222.3596,0.4825,0.2975,0.4562,0.0,161.1
85,40800,-4032.9129,0.175,0.27,0.2258,0.0,161.3
86,41280,-22770.8731,0.775,-0.9483,0.7283,0.0,178.5
87,41760,-9433.0159,0.3083,0.1167,0.2954,0.0,178.6
88,42240,-15467.5061,0.6925,-0.68,0.6942,0.0,178.8
89,42720,-8496.1528,0.465,0.235,0.3683,0.0,178.9
90,43200,-7368.9153,0.3492,0.3367,0.3192,0.0,179.0
91,43680,-10571.0994,0.5008,-0.0233,0.3742,0.0,179.2
92,44160,-12612.1712,0.4258,0.0275,0.3375,0.0,179.3
93,44640,-17424.8245,0.5383,-0.4933,0.4133,0.0,179.4
94,45120,-8561.3481,0.6108,-0.3867,0.4592,0.0,196.5
95,45600,-5160.2337,0.4133,0.3417,0.3408,0.0,196.7
96,46080,-10014.1779,0.2117,0.2675,0.2767,0.0,196.8
97,46560,-12692.4015,0.4875,-0.4458,0.4942,0.0,197.0
98,47040,-11234.4872,0.4783,-0.2717,0.4533,0.0,197.1
99,47520,-11850.4709,0.5767,-0.5792,0.6017,0.0,197.3
100,48000,-12019.7277,0.27,0.2767,0.3583,0.0,197.4
101,48480,-10992.7218,0.6008,-0.6192,0.4817,0.0,197.6
102,48960,-8638.1515,0.4058,0.245,0.26,0.0,197.7
103,49440,-8506.7166,0.445,0.0842,0.2871,0.0,215.1
104,49920,-15219.6213,0.3225,0.2825,0.3108,0.0,215.3
105,50400,-13741.295,0.67,-0.9008,0.5617,0.0,215.4
106,50880,-11382.659,0.6417,-0.9283,0.7583,0.0,215.6
107,51360,-11310.3975,0.3225,0.2242,0.2713,0.0,215.7
108,51840,-21339.7022,0.5525,-0.7442,0.5658,0.0,215.8
109,52320,-8908.9624,0.385,0.2467,0.2675,0.0,216.0
110,52800,-13489.565,0.4058,0.0092,0.3325,0.0,216.1
111,53280,-9521.4479,0.7058,-0.9042,0.6383,0.0,234.1
112,53760,-11931.5445,0.3583,0.3475,0.2758,0.0,234.3
113,54240,-14117.4596,0.4433,0.3767,0.3117,0.0,234.4
114,54720,-7207.6039,0.2308,0.2725,0.2967,0.0,234.5
115,55200,-13933.2865,0.4367,-0.3142,0.4692,0.0,234.7
116,55680,-10118.4598,0.785,-0.8208,0.5858,0.0,234.8
117,56160,-11950.4932,0.3567,0.3533,0.3067,0.0,234.9
118,56640,-12080.1649,0.2533,0.25,0.3633,0.0,235.1
119,57120,-7133.8958,0.2025,0.2925,0.2467,0.0,235.2
120,57600,-2093.3461,0.3642,0.3483,0.2675,0.0,252.7
121,58080,-11270.9404,0.5067,0.1117,0.3683,0.0,252.9
122,58560,-18193.8688,0.6767,-0.7658,0.6992,0.0,253.0
123,59040,-19353.2996,0.6767,-0.9358,0.6475,0.0,253.2
124,59520,-7007.4037,0.6783,-0.8542,0.635,0.0,253.3
125,60000,-12497.1376,0.3383,0.3442,0.2925,0.0,253.4
126,60480,-6743.8109,0.5567,-0.4858,0.5492,0.0,253.6
127,60960,-16626.0693,0.7475,-0.5283,0.6083,0.0,253.7
128,61440,-4595.6791,0.5083,-0.1508,0.435,0.0,253.8
129,61920,-10576.5444,0.635,-0.5208,0.585,0.0,269.4
130,62400,-6606.0719,0.705,-0.7075,0.6592,0.0,269.5
131,62880,-8153.5185,0.4083,0.2442,0.3275,0.0,269.7
132,63360,-11230.3457,0.4458,0.2242,0.4183,0.0,269.8
133,63840,-8177.9206,0.3775,0.3533,0.2667,0.0,270.0
134,64320,-11413.1835,0.4008,0.1858,0.3767,0.0,270.1
