episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
1,480,-14389.729,0.2182,-0.0357,0.1479,0.0,0.1
2,960,-12094.6418,0.1839,-0.084,0.144,0.0,0.2
3,1440,-2774.5627,0.2409,-0.0202,0.1552,0.0,0.3
4,1920,-12969.5372,0.2674,0.0119,0.1702,0.0,0.4
5,2400,-8881.2541,0.2159,-0.0489,0.144,0.0,0.5
6,2880,-20709.4141,0.1912,-0.085,0.1273,0.0,0.6
7,3360,-8248.4559,0.1055,-0.1885,0.1042,0.0,0.7
8,3840,-14253.9456,0.097,-0.1979,0.0997,0.0,0.8
9,4320,-14458.1133,0.2218,-0.0462,0.1524,0.0,12.2
10,4800,-8668.221,0.1911,-0.0914,0.1355,0.0,12.3
11,5280,-22307.7229,0.1016,-0.2041,0.099,0.0,12.4
12,5760,-21701.4501,0.156,-0.1364,0.131,0.0,12.5
13,6240,-9442.3121,0.2378,-0.0325,0.1605,0.0,12.6
14,6720,-6126.1831,0.2145,-0.0507,0.1453,0.0,12.6
15,7200,-12023.191,0.2249,-0.0393,0.1549,0.0,12.7
16,7680,-7111.2018,0.0978,-0.1964,0.0977,0.0,12.8
17,8160,-15692.4332,0.2548,0.0079,0.1683,0.0,12.9
18,8640,-12706.9595,0.1804,-0.0894,0.1369,0.0,24.6
19,9120,-6285.9794,0.1924,-0.0923,0.1381,0.0,24.7
20,9600,-17257.7927,0.1814,-0.1052,0.1407,0.0,24.9
21,10080,-3536.7582,0.1685,-0.1139,0.1323,0.0,25.0
22,10560,-10097.3325,0.2262,-0.0395,0.1562,0.0,25.1
23,11040,-12389.4897,0.2579,0.0048,0.1643,0.0,25.2
24,11520,-9388.5794,0.2708,0.0203,0.1793,0.0,25.3
25,12000,-3428.6214,0.2177,-0.0499,0.1531,0.0,25.5
26,12480,-15468.0936,0.2259,-0.0457,0.1474,0.0,42.3
27,12960,-21464.0572,0.0999,-0.204,0.0956,0.0,42.4
28,13440,-16094.5641,0.2132,-0.0577,0.1504,0.0,42.5
29,13920,-8003.4504,0.1994,-0.0687,0.1393,0.0,42.7
30,14400,-16551.3677,0.1014,-0.1987,0.1081,0.0,42.8
31,14880,-4965.3816,0.1844,-0.105,0.1379,0.0,42.9
32,15360,-11775.0696,0.099,-0.1938,0.0985,0.0,43.0
33,15840,-3056.7697,0.0977,-0.202,0.1052,0.0,43.1
34,16320,-13739.5409,0.2501,0.011,0.1513,0.0,43.2
35,16800,-17182.8963,0.1607,-0.1224,0.13,0.0,53.8
36,17280,-14393.0464,0.1011,-0.1943,0.1031,0.0,53.9
37,17760,-10026.5144,0.2169,-0.0436,0.1477,0.0,53.9
38,18240,-11227.1586,0.2254,-0.0214,0.151,0.0,54.0
39,18720,-22505.2546,0.1715,-0.1182,0.1293,0.0,54.1
40,19200,-13981.9672,0.2172,-0.0396,0.1492,0.0,54.2
41,19680,-21550.3338,0.2009,-0.0675,0.1435,0.0,54.3
42,20160,-13595.4771,0.1933,-0.0807,0.1369,0.0,54.4
43,20640,-9964.7295,0.1762,-0.0805,0.1385,0.0,64.8
44,21120,-7369.8191,0.2366,-0.0249,0.1509,0.0,64.9
45,21600,-16165.2044,0.0933,-0.1984,0.098,0.0,65.0
46,22080,-12190.4597,0.2121,-0.0604,0.1436,0.0,65.1
47,22560,-11685.6116,0.234,-0.0354,0.1546,0.0,65.2
48,23040,-7669.411,0.0971,-0.1992,0.1008,0.0,65.3
49,23520,-19772.7747,0.1879,-0.0906,0.1388,0.0,65.4
50,24000,-11199.3128,0.2146,-0.0612,0.1462,0.0,65.4
51,24480,-3429.9084,0.1592,-0.1255,0.1344,0.0,65.5
52,24960,-7380.6793,0.1015,-0.2003,0.1032,0.0,76.7
53,25440,-9787.0778,0.2318,-0.0338,0.1601,0.0,76.8
54,25920,-16964.5992,0.237,-0.0192,0.1494,0.0,76.9
55,26400,-14669.0807,0.098,-0.1991,0.0961,0.0,77.0
56,26880,-14229.8595,0.0993,-0.2036,0.1036,0.0,77.1
57,27360,-10822.5297,0.2188,-0.0454,0.1463,0.0,77.2
58,27840,-6272.2754,0.1779,-0.1116,0.1208,0.0,77.2
59,28320,-11418.2612,0.1734,-0.1097,0.1402,0.0,77.3
60,28800,-11402.7563,0.2437,-0.0047,0.1593,0.0,87.3
61,29280,-6956.5856,0.0996,-0.1967,0.0948,0.0,87.4
62,29760,-10285.6204,0.0962,-0.1929,0.1033,0.0,87.4
63,30240,-12595.5052,0.2535,0.0049,0.1562,0.0,87.5
64,30720,-15404.5579,0.1977,-0.0922,0.1361,0.0,87.6
65,31200,-10663.5831,0.1001,-0.1993,0.0962,0.0,87.7
66,31680,-15628.2258,0.2503,-0.0025,0.1623,0.0,87.8
67,32160,-6789.0869,0.1792,-0.1042,0.1341,0.0,87.9
68,32640,-16910.3113,0.2113,-0.0545,0.1422,0.0,88.0
69,33120,-9238.741,0.2019,-0.0532,0.1431,0.0,99.1
70,33600,-14432.8046,0.1889,-0.1031,0.1423,0.0,99.2
71,34080,-3025.6422,0.2217,-0.0603,0.1372,0.0,99.3
72,34560,-8220.0478,0.171,-0.1114,0.1365,0.0,99.4
73,35040,-15758.317,0.2181,-0.0743,0.1614,0.0,99.5
74,35520,-12970.4903,0.0951,-0.2041,0.105,0.0,99.6
75,36000,-7967.463,0.2033,-0.0654,0.134,0.0,99.7
76,36480,-11372.4096,0.1031,-0.1955,0.0993,0.0,99.8
77,36960,-10202.9304,0.1814,-0.1065,0.1429,0.0,110.8
78,37440,-17892.2794,0.2126,-0.0365,0.1543,0.0,110.9
79,37920,-7123.1187,0.1934,-0.0977,0.1318,0.0,111.0
80,38400,-14414.5744,0.1668,-0.1287,0.1363,0.0,111.1
81,38880,-11525.5793,0.1017,-0.1947,0.0991,0.0,111.2
82,39360,-8096.454,0.2294,-0.0413,0.1468,0.0,111.3
83,39840,-11697.4608,0.2055,-0.067,0.1492,0.0,111.4
84,40320,-11589.0958,0.1979,-0.0783,0.1511,0.0,111.5
85,40800,-4148.4604,0.0984,-0.205,0.1024,0.0,111.5
86,41280,-22673.7892,0.1988,-0.0768,0.1441,0.0,122.3
87,41760,-9818.2947,0.1726,-0.109,0.1304,0.0,122.3
88,42240,-17283.0056,0.1805,-0.0998,0.1403,0.0,122.4
89,42720,-7033.6062,0.1013,-0.1942,0.1092,0.0,122.5
90,43200,-5884.2169,0.0878,-0.1965,0.1047,0.0,122.6
91,43680,-11321.7922,0.2361,-0.0224,0.1622,0.0,122.7
92,44160,-12282.7065,0.2156,-0.0395,0.1534,0.0,122.8
93,44640,-15069.753,0.1981,-0.0653,0.1337,0.0,122.8
94,45120,-11812.0567,0.1779,-0.1066,0.1265,0.0,133.3
95,45600,-5963.4564,0.0966,-0.1994,0.0963,0.0,133.4
96,46080,-8814.752,0.1629,-0.1233,0.1319,0.0,133.5
97,46560,-10661.5547,0.1002,-0.2099,0.1126,0.0,133.6
98,47040,-9206.4753,0.1888,-0.0835,0.1361,0.0,133.7
99,47520,-8141.7716,0.2108,-0.0602,0.1471,0.0,133.8
100,48000,-11907.4118,0.203,-0.0701,0.1447,0.0,133.9
101,48480,-11392.8589,0.1757,-0.0975,0.1237,0.0,134.0
102,48960,-8196.7718,0.2417,-0.007,0.1571,0.0,134.1
103,49440,-10032.3443,0.2223,-0.0451,0.1569,0.0,145.0
104,49920,-14094.1722,0.1539,-0.1292,0.1229,0.0,145.1
105,50400,-14441.2826,0.2487,0.0055,0.167,0.0,145.2
106,50880,-11473.4108,0.2205,-0.0416,0.1583,0.0,145.3
107,51360,-8725.9851,0.09,-0.2037,0.1023,0.0,145.4
108,51840,-20336.9844,0.0944,-0.2056,0.0991,0.0,145.5
109,52320,-9601.1222,0.1032,-0.1904,0.1027,0.0,145.6
110,52800,-13261.6866,0.2603,0.0091,0.1547,0.0,145.7
111,53280,-9947.6557,0.1048,-0.1967,0.0917,0.0,156.8
112,53760,-11126.5713,0.0997,-0.2108,0.1005,0.0,156.9
113,54240,-13080.1586,0.1016,-0.1949,0.1003,0.0,157.0
114,54720,-8256.2486,0.1834,-0.1041,0.144,0.0,157.1
115,55200,-13263.7811,0.101,-0.2053,0.1083,0.0,157.2
116,55680,-8038.3509,0.1918,-0.0763,0.1448,0.0,157.3
